file_name,telegram_type,station_code,data_id,announced,created,obs_kind,date,fct_start_day,fct_start_hour,fct_end_day,fct_end_hour,wind_dir,wind_speed_over100kt_flag,wind_speed,wind_gusts_over100kt_flag,wind_gusts,wind_dir_min,wind_dir_max,cavok,visibility,rvr_count,wx_count,cloud_count,str_cloud,temp_sign,temp,dew_point_sign,dew_point,altimeter_hpa,bulletin,wx
20180111_060000.002,0,RJFK,,,,0,20180111060000,-1,-1,-1,-1,340,-1,14,-1,-1,-1,-1,,9999,0,1,2,FEW 20   SCT 30,1,2,-1,3,1019,RJFK 110600Z 34014KT 9999 -SHSN FEW020 SCT030 02/M03 Q1019 RMK     1CU020 3CU030 A3012=,- SN SH
20180111_070000.002,0,RJFK,,,,0,20180111070000,-1,-1,-1,-1,330,-1,15,-1,-1,-1,-1,,9999,0,1,1,FEW 20,1,1,-1,4,1020,RJFK 110700Z 33015KT 9999 -SHSN FEW020 01/M04 Q1020 RMK 1CU020     A3012=,- SN SH
20180111_080000.002,0,RJFK,,,,0,20180111080000,-1,-1,-1,-1,340,-1,15,-1,-1,-1,-1,,9999,0,1,1,FEW 15,1,0,-1,4,1020,RJFK 110800Z 34015KT 9999 -SHSN FEW015 00/M04 Q1020 RMK 1CU015     A3014=,- SN SH
20180111_090000.002,0,RJFK,,,,0,20180111090000,-1,-1,-1,-1,340,-1,12,-1,-1,-1,-1,,9999,0,0,1,FEW 15,-1,1,-1,4,1020,RJFK 110900Z 34012KT 9999 FEW015 M01/M04 Q1020 RMK 1CU015     A3014=,
20180111_100000.002,0,RJFK,,,,0,20180111100000,-1,-1,-1,-1,330,-1,13,-1,-1,-1,-1,,9999,0,1,1,FEW 10,-1,1,-1,4,1021,RJFK 111000Z 33013KT 9999 -SHSN FEW010 M01/M04 Q1021 RMK     1CU010 A3017=,- SN SH
20180111_110000.002,0,RJFK,,,,0,20180111110000,-1,-1,-1,-1,340,-1,7,-1,-1,-1,-1,,9999,0,1,2,FEW 10   SCT 25,-1,2,-1,4,1022,RJFK 111100Z 34007KT 9999 -SHSN FEW010 SCT025 M02/M04 Q1022     RMK 1CU010 4CU025 A3019=,- SN SH
20180111_120000.002,0,RJFK,,,,0,20180111120000,-1,-1,-1,-1,320,-1,3,-1,-1,260,10,,9999,0,0,2,FEW 15   BKN 40,-1,2,-1,4,1023,RJFK 111200Z 32003KT 260V010 9999 FEW015 BKN040 M02/M04 Q1023     RMK 1CU015 6CU040 A3021=,
20180111_210000.002,0,RJFK,,,,0,20180111210000,-1,-1,-1,-1,320,-1,5,-1,-1,-1,-1,,9999,0,0,1,FEW 40,-1,4,-1,7,1024,RJFK 112100Z 32005KT 9999 FEW040 M04/M07 Q1024 RMK 1SC040     A3024=,
20180111_220000.002,0,RJFK,,,,0,20180111220000,-1,-1,-1,-1,340,-1,8,-1,-1,-1,-1,,9999,0,1,1,FEW 20,-1,3,-1,6,1024,RJFK 112200Z 34008KT 9999 VCSH FEW020 M03/M06 Q1024 RMK 1CU020     A3026=,VC SH
20180111_230000.002,0,RJFK,,,,0,20180111230000,-1,-1,-1,-1,330,-1,8,-1,-1,-1,-1,,9999,0,1,1,FEW 15,-1,3,-1,6,1025,RJFK 112300Z 33008KT 9999 -SHSN FEW015 M03/M06 Q1025 RMK     1CU015 A3027=,- SN SH
